activity_id,activity_name,date_modified,start_time,end_time,tag_id,tag_type_id,name,tag_type_name,tag_name
012df91e-dba2-4120-aed2-d987055299df,9th June 2026 - MD-4 vs Calgary (A),2026-06-09T20:44:40Z,2026-06-09T15:16:52Z,2026-06-09T17:00:16Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
91cd2dbe-e123-4a0b-9279-04fb8b05fac9,8th June 2026 - MD-5 vs Calgary (H),2026-06-08T20:26:41Z,2026-06-08T15:34:07Z,2026-06-08T16:32:30Z,9842ba42-1829-46ce-a362-8ef40edd8fe1,31592f18-a442-43f1-8495-2479b8708f83,MD-5,DayCode,MD-5
73b5998c-f8dd-48cc-85f1-25ad19aba834,29th May 2026 - MD 6 vs Ottawa (H),2026-05-30T02:52:20Z,2026-05-29T20:12:31Z,2026-05-29T23:01:10Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
e9aa7a0e-825f-4fd3-a588-5652b6b82974,28th May 2026 - MD-1 vs Ottawa (A),2026-05-28T19:07:27Z,2026-05-28T13:41:41Z,2026-05-28T14:41:55Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
e5388006-5f7f-4f6a-a94a-b75308e869d0,27th May 2026 - MD-2 vs Ottawa (A),2026-05-27T22:22:17Z,2026-05-27T15:42:31Z,2026-05-27T17:30:35Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
8273f140-c23e-43be-870d-82ee1fb33cc2,24th May 2026 - MD 5 vs Calgary (A),2026-05-25T18:48:39Z,2026-05-24T22:13:49Z,2026-05-25T01:22:33Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
8273f140-c23e-43be-870d-82ee1fb33cc2,24th May 2026 - MD 5 vs Calgary (A),2026-05-25T18:48:39Z,2026-05-24T22:13:49Z,2026-05-25T01:22:33Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
77d44c42-d762-440b-b40a-31249a8b3928,23rd May 2026 - MD-1 vs Calgary (A),2026-05-24T02:13:48Z,2026-05-23T20:02:13Z,2026-05-23T21:07:05Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
52ba8265-1886-4573-909c-6c4751107252,21st May 2026 - MD-3 vs Calgary (A),2026-05-21T21:09:15Z,2026-05-21T15:27:33Z,2026-05-21T17:31:30Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
274597e6-6f7c-47ed-b8d0-b03944ba7366,20th May 2026 - MD-4 vs Calgary (A),2026-05-20T21:01:28Z,2026-05-20T15:25:46Z,2026-05-20T17:08:50Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
a26f5f96-e023-498f-b9cc-de798d94339b,18th May 2026 - MD 4  vs Vancouver (H),2026-05-19T18:10:30Z,2026-05-18T20:11:05Z,2026-05-18T23:14:03Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
591d078a-d31f-4764-920d-4beea4ade008,17th May 2026 - MD-1 vs Vancouver (H),2026-05-17T20:17:33Z,2026-05-17T13:11:37Z,2026-05-17T14:44:47Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
4148043a-694b-43bf-8095-06dc08c0de29,16th May 2026 - MD-2 vs Vancouver (H),2026-05-16T21:09:08Z,2026-05-16T15:11:03Z,2026-05-16T17:08:48Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
16591757-ee9a-4db5-95d1-6cfd44ce04b8,15th May 2026 - MD-3 vs Vancouver (H),2026-05-15T20:40:58Z,2026-05-15T16:08:06Z,2026-05-15T17:04:20Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
ad76264a-0809-41f2-8a9f-0ef6ea84ed9a,13th May 2026 - MD 3 vs Ottawa (A),2026-05-19T18:10:39Z,2026-05-13T22:09:29Z,2026-05-14T01:05:07Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
125f528a-5278-4119-a4cb-3fd223705aaf,12th May 2026 - MD-1 vs Ottawa (A),2026-05-13T03:06:39Z,2026-05-12T21:49:07Z,2026-05-12T23:05:04Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
3e1506e2-77b9-4354-a063-a2bffff0e21e,11th May 2026 - MD-2 vs Ottawa (A),2026-05-11T20:46:30Z,2026-05-11T15:28:18Z,2026-05-11T17:10:52Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
797bbfcc-d63b-456a-a4f4-ca9d6cd2ac18,10th May 2026 - MD-3 vs Ottawa (A),2026-05-10T22:05:07Z,2026-05-10T15:55:34Z,2026-05-10T17:49:17Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
b952c1d0-0437-4ae1-a426-1fc2c763c579,9th May 2026 - MD-4 vs Ottawa (A),2026-05-09T21:25:32Z,2026-05-09T15:18:21Z,2026-05-09T16:49:25Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
0a0fbd73-b329-4f85-8c3b-c06d3e18e462,7th May 2026 - MD-6 vs Ottawa (A),2026-05-07T22:02:48Z,2026-05-07T15:27:09Z,2026-05-07T17:26:46Z,2fde7d1a-c7a2-4fd7-988f-a8bbd0d39bfc,31592f18-a442-43f1-8495-2479b8708f83,MD-6,DayCode,MD-6
4b3d13d3-bfe0-42f1-aee6-f6ac86d053fd,6th May 2026 - MD+3 vs Ottawa (A),2026-05-06T22:02:29Z,2026-05-06T15:45:57Z,2026-05-06T17:06:30Z,d888b22f-0cd3-438d-990b-da2066a1f38f,31592f18-a442-43f1-8495-2479b8708f83,MD+3,DayCode,MD+3
0c37d871-3077-47ed-8d2b-ba5db2db6b6f,3rd May 2026 - MD 2 vs Toronto (A),2026-05-19T18:11:00Z,2026-05-03T15:12:09Z,2026-05-03T17:59:19Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
60c10349-ef17-451a-acfe-c585438e421e,2nd May 2026 - MD-1 vs Toronto (A),2026-05-03T03:22:00Z,2026-05-02T19:31:48Z,2026-05-02T20:51:35Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
c1fd8a2d-ebdd-4168-9e20-0b9af0f639c8,1st May 2026 - MD-2 vs Toronto (A),2026-05-01T22:29:05Z,2026-05-01T15:27:16Z,2026-05-01T17:09:51Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
b9e692ed-d3af-4d31-8674-cd9e8aeda771,30th April 2026 - MD-3 vs Toronto (A),2026-04-30T22:01:07Z,2026-04-30T15:20:21Z,2026-04-30T17:35:49Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
3f31e063-8bc5-4506-b316-4f274712514b,29th April 2026 - MD-4 vs Toronto (A),2026-04-29T20:40:00Z,2026-04-29T15:14:12Z,2026-04-29T16:59:00Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
f077169d-e7f5-4fbc-88ea-a44f20aa5e8f,28th April 2026 - MD-5 vs Toronto (A),2026-04-28T20:43:44Z,2026-04-28T14:59:25Z,2026-04-28T16:45:33Z,9842ba42-1829-46ce-a362-8ef40edd8fe1,31592f18-a442-43f1-8495-2479b8708f83,MD-5,DayCode,MD-5
19ef9092-bd2c-451b-b518-7faeb2f199e1,25th April 2026 - MD 1 vs Ottawa (H),2026-05-19T18:11:09Z,2026-04-25T14:55:19Z,2026-04-25T18:45:45Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
e938ba36-2ecc-4316-be3c-e45b4ce1ebeb,24th April 2026 - MD-1 vs Ottawa (H),2026-04-24T20:40:45Z,2026-04-24T13:52:42Z,2026-04-24T15:23:38Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
4400f23a-2bb8-4c87-9b2a-b03f739d5c17,23rd April 2026 - MD-2 vs Ottawa (H),2026-04-23T21:35:23Z,2026-04-23T15:29:30Z,2026-04-23T17:16:32Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
bfa68ce0-84ee-4781-866f-2bb41280550d,22nd April 2026 - MD-3 vs Ottawa (H),2026-04-22T21:48:36Z,2026-04-22T15:21:55Z,2026-04-22T17:26:31Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
05cba296-4e54-4d80-acad-ebf81f368e80,21st April 2026 - MD-4 vs Ottawa (H),2026-04-21T20:39:44Z,2026-04-21T15:24:27Z,2026-04-21T16:58:29Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
20f16c83-ee3f-49b3-a749-b499e3a148fc,19th April 2026 - MD vs AUS (A),2026-04-28T16:00:15Z,2026-04-19T14:57:17Z,2026-04-19T18:31:32Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
6058bce5-0434-466f-af27-4f339713bf9a,18th April 2026 - MD-1 vs AUS (A),2026-04-19T14:53:29Z,2026-04-18T11:59:31Z,2026-04-18T13:35:40Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
b623f118-7eef-496b-b794-0f33ca1d8466,17th April 2026 - MD-2 vs AUS (A),2026-04-17T21:45:58Z,2026-04-17T15:24:32Z,2026-04-17T17:33:13Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
4051f8ac-0b37-4f86-abc1-42764210402b,16th April 2026 - MD-3 vs AUS (A),2026-04-16T22:03:30Z,2026-04-16T15:21:09Z,2026-04-16T17:11:28Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
50adf3b4-800f-4b07-8212-71044edc40b2,15th April 2026 - MD-4 vs AUS (A),2026-04-15T20:25:42Z,2026-04-15T15:22:11Z,2026-04-15T16:48:34Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
cff87f20-ed3b-4b1c-b788-447ee13ab187,12th April 2026 - MD vs Portsmouth (A),2026-05-22T19:09:42Z,2026-04-12T09:01:12Z,2026-04-12T11:59:35Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
a7ae97f8-09e1-4492-baea-a12bc5ba6063,11th April 2026 - MD-1 vs Portsmouth (A),2026-04-11T14:05:54Z,2026-04-11T08:07:36Z,2026-04-11T09:46:13Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
db6b1b46-e1fc-4fdb-966a-81dd992aebcc,10th April 2026 - MD-2 vs Portsmouth (A),2026-04-10T20:18:35Z,2026-04-10T12:32:40Z,2026-04-10T14:22:46Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
112e7ea2-acd4-4bb0-a6c7-1e7f58fd4acd,8th April 2026 - MD vs Everton (A),2026-05-25T20:44:39Z,2026-04-08T10:50:51Z,2026-04-08T14:10:09Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
e8c52268-980f-4632-bb88-2fe7701dadd9,7th April 2026 - MD-1 vs Everton (A),2026-04-07T19:46:48Z,2026-04-07T12:39:32Z,2026-04-07T14:34:29Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
32ec7c08-d325-4cc6-97c8-f63c8fb3fd8a,6th April 2026 - MD-2 vs Everton (A),2026-04-06T20:08:22Z,2026-04-06T12:34:01Z,2026-04-06T14:34:20Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
ba925593-3255-47c5-ae8e-6b74d8d1fbe3,4th April 2026 - MD vs West Ham (A),2026-05-25T20:49:50Z,2026-04-04T10:16:20Z,2026-04-04T13:10:58Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
88be2842-ae6b-4688-8909-0b166a74c94a,3rd April 2026 - MD-1 vs West Ham (A),2026-04-06T20:08:22Z,2026-04-03T08:29:30Z,2026-04-03T10:38:25Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
8e48fc64-5bfa-4b91-9516-3f4a9499e3f8,2nd April 2026 - MD-2 vs West Ham (A),2026-04-06T20:08:22Z,2026-04-02T08:21:07Z,2026-04-02T10:49:06Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
269c8eec-8d5b-45f4-91f8-30abcfa5b687,1st April 2026 - MD-3 vs West Ham (A),2026-04-06T20:08:22Z,2026-04-01T11:36:56Z,2026-04-01T14:03:06Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
77bda874-1563-442d-830f-f49c01bf6a16,31st March 2026 - MD-4 vs West Ham (A),2026-04-06T20:08:22Z,2026-03-31T12:06:34Z,2026-03-31T14:54:26Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
40eadad9-fd5e-460f-b206-5f5479557ac5,27th March 2026 - MD vs Da Boyz (H),2026-03-27T23:27:04Z,2026-03-27T17:08:04Z,2026-03-27T19:53:34Z,c2d24eda-9d6c-4e5f-bd37-85016ad6e3f5,31592f18-a442-43f1-8495-2479b8708f83,MD,DayCode,MD
bd2e1861-dddc-4e53-951c-658ea71ef921,26th March 2026 - MD-1 vs Da Bozy (H),2026-03-26T21:15:58Z,2026-03-26T15:56:18Z,2026-03-26T17:31:34Z,c711e375-1ba7-47df-929f-1ed596a692c6,31592f18-a442-43f1-8495-2479b8708f83,MD-1,DayCode,MD-1
4c3ed5f8-d5de-46ed-bd21-bf0630e54b75,25th March 2026 - MD-2 vs Da Boyz (H),2026-03-25T22:20:08Z,2026-03-25T15:46:07Z,2026-03-25T17:43:11Z,bffecd9d-3331-4159-829c-13d9450ba906,31592f18-a442-43f1-8495-2479b8708f83,MD-2,DayCode,MD-2
95f3c723-2d0d-4a44-8ed8-19279cc8c082,24th March 2026 - MD-3 vs Da Boyz (H),2026-03-24T21:24:15Z,2026-03-24T15:56:17Z,2026-03-24T17:36:27Z,669aa054-6289-4816-abd7-613f954b3eb9,31592f18-a442-43f1-8495-2479b8708f83,MD-3,DayCode,MD-3
8c1378b4-fb52-4f6e-b0e4-72f2dd815d23,23rd March 2026 - MD-4 vs Da Boyz (H),2026-03-24T21:25:14Z,2026-03-23T15:59:18Z,2026-03-23T18:01:54Z,333cf4b7-60c1-4fff-8aab-981cb50286ea,31592f18-a442-43f1-8495-2479b8708f83,MD-4,DayCode,MD-4
a3853637-4709-49c3-a830-c1093bde3bf5,20th March 2026 - Outdoor Run,2026-04-29T22:02:02Z,2026-03-20T12:20:02Z,2026-03-20T13:38:26Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
a6677ca8-7e80-436d-89c7-54a86f25b670,19th February 2026 - Indoor Run,2026-04-29T22:03:55Z,2026-03-19T10:44:10Z,2026-03-19T14:20:38Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
ae40a9da-9df3-4304-aba2-daf28123ce0b,18th March 2026 - Outdoor Run,2026-04-29T22:03:54Z,2026-03-18T12:26:10Z,2026-03-18T13:22:27Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
bc175a9e-0f98-44ff-9b42-392a8ce2f32e,16th March 2026 - Outdoor Run,2026-04-29T22:03:58Z,2026-03-16T13:06:34Z,2026-03-16T14:02:15Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
b964c07f-27d8-4c47-ad4d-69be6b1700fb,13th March 2026 - Preseason,2026-03-20T20:24:36Z,2026-03-13T15:50:46Z,2026-03-13T17:32:51Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
53d7fbfc-2d8c-4c97-97aa-79aaca08749d,12th March 2026 - Preseason,2026-03-13T17:03:53Z,2026-03-12T15:50:44Z,2026-03-12T17:27:32Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
c9bf7cfb-b5dc-49aa-a47a-b24c7bfb1188,11th March 2026 - Preseason,2026-03-11T22:22:33Z,2026-03-11T16:24:08Z,2026-03-11T17:41:36Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
85e4bac8-d175-42cf-aa42-5877106fded7,10th March 2026 - Preseason,2026-03-10T22:14:26Z,2026-03-10T15:59:08Z,2026-03-10T17:40:57Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
cc2b459e-a672-422d-9321-a22f42310195,9th March 2026 - Preseason,2026-03-10T22:25:07Z,2026-03-09T15:58:14Z,2026-03-09T17:42:47Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
a0813d93-fbe3-48a4-8e62-fb0d72495270,6th March 2026 - Preseason,2026-04-03T15:08:35Z,2026-03-06T16:53:50Z,2026-03-06T18:30:55Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
6a9fff6b-0cdf-41c0-a6bd-17b4431ba32f,5th March 2025 - Preseason,2026-03-05T23:25:14Z,2026-03-05T16:59:34Z,2026-03-05T18:26:04Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
889db2ac-cfb4-4c14-a00f-21cd71eec4a0,4th March 2026 - Preseason,2026-03-04T23:17:36Z,2026-03-04T16:57:19Z,2026-03-04T18:49:06Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
e441079c-4d75-4318-b749-3b0fc1e1764d,3rd March 2026 - Preseason,2026-03-03T23:31:07Z,2026-03-03T16:49:25Z,2026-03-03T18:48:08Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
aa6d3ae0-1c67-450a-b39c-f0222de03857,2nd March 2026 - Preseason,2026-03-10T21:35:17Z,2026-03-02T17:00:31Z,2026-03-02T18:39:47Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
a62f9f13-2b10-4299-8884-bd092877a162,27th February 2026 - Preseason,2026-02-28T01:02:33Z,2026-02-27T17:00:29Z,2026-02-27T18:41:48Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
38bc4fb7-bc94-46a7-ad7e-562fa5f4f986,26th February 2026 - Preseason,2026-02-26T23:32:51Z,2026-02-26T17:00:28Z,2026-02-26T18:35:11Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
9754f878-02c3-495c-b856-3ee85b819467,25th February 2026 - Preseason,2026-03-10T21:20:24Z,2026-02-25T16:59:31Z,2026-02-25T18:20:35Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
397150ab-c743-446a-b350-bf6fd301b103,24th February 2026 - Preseason,2026-02-25T16:07:33Z,2026-02-24T16:59:40Z,2026-02-24T18:55:53Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
65b01e1f-0acc-4b99-864c-f8470ace2c35,20th February 2025 - Preseason,2026-02-25T16:11:23Z,2026-02-20T16:59:30Z,2026-02-20T18:00:01Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
793bfc4f-0604-4b5e-9e3d-bb1b7fd62d5d,18th February 2026 - Testing,2026-02-25T16:15:55Z,2026-02-18T16:59:44Z,2026-02-18T18:35:15Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
e0daad9f-4e65-499a-9b74-838588372b09,Session,2026-02-20T22:56:18Z,2026-02-15T21:23:32Z,2026-02-16T02:39:58Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
4274753c-0bbf-4533-a926-37d06ae9a0dc,21st January 2026 - Testing,2026-02-25T16:24:48Z,2026-01-21T10:05:27Z,2026-01-21T11:15:56Z,ea54e2ca-9ed2-43ce-b5ea-cad233a72177,31592f18-a442-43f1-8495-2479b8708f83,Pre-Season,DayCode,Pre-Season
